kpoints,lattice_parameter,max_revision,path,revision_number,variable_list,job_state,elec_energy
666,3.3,1,data/01-666/01-3p3/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.3}]",,-13678.045716112645
666,3.304,1,data/01-666/02-3p304/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.304}]",,-13678.091140757995
666,3.308,1,data/01-666/03-3p308/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.308}]",,-13678.135174697483
666,3.312,1,data/01-666/04-3p312/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.312}]",,-13678.17780813501
666,3.316,1,data/01-666/05-3p316/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.316}]",,-13678.219322028126
666,3.32,1,data/01-666/06-3p32/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.32}]",,
666,3.324,1,data/01-666/07-3p324/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.324}]",,-13678.298440286642
666,3.328,1,data/01-666/08-3p328/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.328}]",,-13678.335888458692
666,3.332,1,data/01-666/09-3p332/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.332}]",,-13678.372072729933
666,3.336,1,data/01-666/10-3p336/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.336}]",,-13678.40691602412
666,3.34,1,data/01-666/11-3p34/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.34}]",,-13678.440539431916
666,3.344,1,data/01-666/12-3p344/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.344}]",,-13678.473022138449
666,3.348,1,data/01-666/13-3p348/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.348}]",,-13678.504409042505
666,3.352,1,data/01-666/14-3p352/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.352}]",,-13678.534340953804
