Column1,Z-spacing,mag-mom,max_revision,path,pw-cutoff,revision_number,variable_list,elec_energy,Column2,-31584.74427,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
41,0.5,TRUE,1,data/01-True/02-600/01-0p5/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.5}]",-31372.14635,212.5979207,,,,,,
42,0.653846154,TRUE,1,data/01-True/02-600/02-0p653846153846/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.6538461538461539}]",-31442.98903,141.755237,,,,,,
43,0.807692308,TRUE,1,data/01-True/02-600/03-0p807692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.8076923076923077}]",-31496.23225,88.51202021,,,,,,
44,0.961538462,TRUE,1,data/01-True/02-600/04-0p961538461538/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 0.9615384615384616}]",-31531.99873,52.74553951,,,,,,
45,1.115384615,TRUE,1,data/01-True/02-600/05-1p11538461538/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.1153846153846154}]",-31555.78945,28.95481618,,,,,,
46,1.269230769,TRUE,1,data/01-True/02-600/06-1p26923076923/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.2692307692307692}]",-31570.04151,14.70275836,,,,,,
47,1.423076923,TRUE,1,data/01-True/02-600/07-1p42307692308/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.4230769230769231}]",-31578.24658,6.497689015,,,,,,
48,1.576923077,TRUE,1,data/01-True/02-600/08-1p57692307692/,600,1,"[{'property': u'mag-mom', 'value': True}, {'property': u'pw-cutoff', 'value': 600}, {'property': u'Z-spacing', 'value': 1.576923076923077}]",-31582.52186,2.222404702,,,,,,
